FID,tag,wodate,datedone,size,material,install_yr,location,comments,abandoned,globalid
724,wpbrk0931,10/26/94,10/26/94,6,CI,1961,"by 3 - 1"" coppers to meter at Ambass.Apts.", ,n,{A216C79A-5E22-4981-9B15-DE963D24B00E}
725,wpbrk0932,02/16/96,02/16/96,4,CI-lead joint,1895,"pipe on rock, no diameter; 12-ft W of service tap", ,n,{A7FF38FB-9621-4E88-8796-91579EDFFE62}
726,wpbrk0935,11/13/95,11/13/95,4,SDR-21 PR200,2002,"4"" parallel to 6"", 3' apart", ,n,{1DAE4CF2-E70B-4511-B6D7-198BFC14212F}
727,wpbrk0939,03/22/02,03/22/02,6,unknown,unknown,"3142 S Yonkers, 6"", 48""deep", ,n,{9641089D-E866-403B-AFA8-648FC54B62C4}
728,wpbrk0940,01/14/02,01/14/02,12,CI,1957,2' W of pavement from Maxwell Ln to Viva, ,n,{F06C8D47-0F3E-4D8F-85D9-E3BBCA2F489F}
729,wpbrk0941,05/20/02,05/20/02,6,CI,1965,2111 E Queens Way/3'N of curb, ,n,{3556873F-CC20-44A1-9478-E0F472A5B610}
730,wpbrk0943,08/02/02,08/02/02,6,CI,1958,10ft N of hyd 408/Bryan Pk pool/Woodlawn, ,n,{11CB9DBB-A4A4-4A75-A836-BDE6A32F9C4D}
731,wpbrk0944,10/31/01,10/31/01,6,CI,1961,1313 E Fairwood/8ft E of service, ,n,{10BD5090-F4F8-4D06-8CD3-17B6B6E41357}
732,wpbrk0945,12/11/00,12/11/00,6,CI,1966,Monroe Plant/57ft from valve to west, ,n,{232BDC9C-B794-4486-9E26-31DD6462F8C9}
733,wpbrk0946,12/11/00,12/11/00,6,CI,1953,"betw Sheridan & Southdowns(1019),42'S valve", ,n,{BFE8EA48-3517-4DB3-BE53-6A766D10209A}
734,wpbrk0948,07/02/02,07/02/02,8,DI,1997,"220 W 3rd/8'3""from curb/30""full seal", ,n,{EEA26F1C-0B62-46DF-B5D8-5E2C392ADC32}
735,wpbrk0949,07/05/02,07/05/02,6,CI,unknown,W of 1021 W Howe/7'S road/7'DI  2 sleeves, ,n,{3274E1FD-BDFF-45A5-9621-61B2EBF95B90}
736,wpbrk0950,10/31/02,10/31/02,6,CI,1961,3321 N Stoneycrest/5' west of road, ,n,{11D26AB8-EA11-4BEA-AAD3-7422A909984C}
737,wpbrk0952,11/13/02,11/13/02,6,CI,1971,5500 N 37/6 CI/ full-seal clamp, ,n,{CCBC2DA9-E858-416C-A975-168E2FCD734E}
738,wpbrk0955,12/13/02,12/13/02,6,unknown,unknown,4217 E Hector Drive, ,n,{C8FF0B4F-5546-4826-AF4A-54F1F6CA0F80}
739,wpbrk0956,12/01/02,12/01/02,6,CI,1966,NW of 1002 E Southdowns/N side in road, ,n,{9FCA1402-D719-4BDF-A037-1562C4FDEF14}
740,wpbrk0957,11/12/02,11/12/02,6,CI,1962,4105 W Belle/E sd/42'S of CL/full seal, ,n,{1EE3BBCF-64C4-4EA3-BC9F-7793D38671DC}
741,wpbrk0959, ,03/12/03,6,CI,1953,2617 E 3rd/6'S of MH 1612/W of sanitary, ,n,{4F1C5E54-52CE-4C48-B592-D6826CD0A19E}
742,wpbrk0981, , ,16,CI,1960,Patterson Dr/approx 2000/3-4 ft deep, ,n,{7E7BF08D-62AD-4F19-A74C-1606DCED7326}
743,wpbrk0982,11/01/02,11/01/02,16,CI,1960,Patterson Dr/18'replaced/E of 545 Pat, ,n,{404B3D97-2584-4E58-A8C1-07B63DA245C3}
744,wpbrk0983,00/00/00,00/00/00,16,CI,1960,Patterson S of 2nd/8-10 ft deep, ,n,{478B4601-2FFD-4F91-8882-E84C58C713FD}
745,wpbrk0984, , ,20,Steel,1962,"139' N of valve, 20.43in OD steel with rubberized coating", ,n,{F4095A05-212F-4BD2-8A78-5A76122CD916}
746,wpbrk0986,09/22/03,09/22/03,6,CI,1961,"54'E of E side of drive, Marlin School onBethel", ,n,{5BA2F522-E88A-45F1-BAA9-55B50DC5FEB8}
747,wpbrk0987, ,01/10/04,6,DI,1983,"2700 S Sare/6\""di/20\""full seal clamp/4 holes", ,n,{C27B422C-E409-4F88-99BB-E311D3EFF0E5}
748,wpbrk0988,12/15/03,12/15/03,4,DI,1977,1416 S Sare Rd; 4 in main; 42 in deep, ,n,{EF96E9F2-579F-4008-80D2-C03E18C3D4B4}
749,wpbrk0989,12/15/03,12/15/03,6,CI,1961,1130 W Briarcliff Dr/ 6 in, ,n,{30BE8ED6-A945-40AD-9D05-F9D6BCC53396}
750,wpbrk0990,02/02/04,02/02/04,6,unknown,unknown,IU Ashton Ctr/NW of Dining hall in walk, ,n,{42D395C1-2621-4AB1-B670-810EC73B7CFF}
751,wpbrk0993,04/16/04,04/16/04,6,DI,1990,610 W Ryan Rd/ 1-inch hole in 6in DI, ,n,{AA61EC7F-9D32-4313-90ED-75777672154C}
752,wpbrk0291,12/26/89,12/26/89,4,unknown,unknown,3671 Hays Dr, ,n,{BFDE3ED6-8CA1-4B06-8913-3476044DCFAF}
753,wpbrk0996,11/30/99,11/30/99,4,unknown,unknown,3650 S Hays Dr/ 4ft from edge of rd, ,n,{78127426-AB54-4E71-8567-C77B5C6A0950}
754,wpbrk0997, ,01/01/94,36,PCCP,1966,North of Burks on S Walnut St Pike/hole drilled in, ,n,{B5D52F9A-7EDA-4011-B606-A3D3424FFF8E}
