FID,tag,pipe_tag,pipe_year,date_repor,time_repor,reported_b,date_repai,time_start,time_compl,temperatur,address,pressure_z,direction_,surface_ab,traffic,pressure_c,chl_res_1_,pressure_1,chl_res_11,tallest_bu,special_se,size_of_ma,outside_di,depth_of_p,pipe_mater,type_of_jo,other_line,existing_b,descriptio,damaged_pa,deteriorat,type_of_fa,prev_leaks,number_of_,cause_of_b,remarks,repaired_o,method_of_,repairs_ma,comments,pres_ch_3_,chl_res_3_,pres_ch_31,chl_res_31,solution_s,trench_pum,pump_size_,line_flush,both_direc,abandoned,globalid
247,248,wp3654,0,2016-12-21,1500, ,2016-12-21,1700,2000,Freezing (30°F-39°F),2211 S High St, , ,Paved,Light,95,2.2,0,0,2,Yes,4,0,72,Cast Iron,Push-on/Slip,None,Native Soils,Service Lateral,Pipe Barrel,Both,Circumferential,Yes,0,Ground Movement, ,Repaired, ,No, ,95,2.2,0,0, , , ,Yes, ,n,{C30D2458-593A-4082-BCAF-5AB29230C527}
248,249,r3724,1987,2016-12-25,2000, ,2016-12-25,2130,600,Mild (55°F-70°F),3904 S Sage Ct,South,E to W,Lawn,Light,50,2.2,0,0,2,No,6,0,84,Ductile Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel,Both,Blow Hole,Yes,4,Temperature Changes, ,Repaired, ,No, ,50,2.2,0,0,Yes,Yes,4,Yes,Yes,y,{E13CBDFA-7D2E-428C-9602-0E93DBE0EEC0}
249,250,o501,1955,2016-12-29,800, ,2016-12-29,800,1300,Freezing (30°F-39°F),2430 Arlington Rd,Central,S to N,Paved,Medium,0,0,0,0,2,No,6,0,63,CI MJ,Mechanical Joint,None,Gravel/Sand,Water Main,Flang nut/bolt/tie rod,Outside,Bolt Leak,Yes,1, , ,Repaired, ,No, ,0,0,0,0,No,Yes,2,Yes, ,y,{68FC7FCF-4801-4BD7-B742-D2D0C764C7BC}
250,251,r38171,1989,2017-01-01,1800, ,2017-01-01,1900,100,Cold (40°F-55°F),743 E Pepperridge Dr,South,E to W,Paved,Medium,50,2.2,0,0,2,No,6,6,7,Ductile Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,No,0,Ground Movement, ,Repaired, ,Yes, ,0,0,0,0, ,Yes,4,Yes, ,y,{0B68D993-C27A-4EF9-92DF-6AA92BCFA3E9}
251,252,s4155,1971,2017-01-06,2300, ,2017-01-06,1200,1330,Freezing (30°F-39°F),2128 E Meadowbluff Ct,Central,W to E,Lawn,Light,85,2.2,85,2.2,2,No,4,4.8,48,Cast Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel,Both,Circumferential,No,0,Ground Movement, ,Repaired, ,No, ,85,2.2,0,0,No,Yes,2,Yes,No,n,{518B300B-4145-4719-AC29-2261379633B8}
252,253,r38171,1989,2017-01-13,2000,Citizen,2017-11-13,2300,200,Cold (40°F-55°F),743 E Pepperridge Dr,South,Loop,Paved,Light,36,0.15,0,0,1,No,6,6.9,72,Ductile Iron, ,None,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,Yes,1,Defect in Pipe, ,Repaired, ,No, ,40,1.91,0,0,No,Yes,4,Yes,No,y,{50E722F6-1AD6-4A29-820B-6E11D16128AD}
253,254,s4453,1966,2017-01-24,1300,City Crew,2017-01-26,800,900,Freezing (30°F-39°F),2124 E Woodstock Pl,Central,W to E,Paved,Light,50,1.92,0,0,2,No,6,6.9,40,Cast Iron, ,None,Gravel/Sand,Water Main,Pipe Barrel,Outside,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,50,1.93,0,0,No,Yes,2,No, ,n,{304CB045-5CE4-47E5-9763-37E9E426ED96}
254,255,t46188,1957,2017-01-24,2300,Citizen,2017-01-25,1000,1100,Cold (40°F-55°F),2512 E 8th,Central,Loop,Lawn,Light,42,1.02,0,0,2,No,4,4.8,38,Cast Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel, ,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,42,1.04,0,0,No,Yes,2,No, ,n,{1765A4A5-1853-4348-A93D-C3B3F32088D5}
255,256,t46188,1957,2017-02-08,0, ,2017-02-08,1330,1430,Freezing (30°F-39°F),2530 E 8th,Central,Loop,"Lawn, Ditch",Medium,48,2.2,48,2.2,2,No,4,4,48,Cast Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel,Both,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,48,2.2,0,0,No,Yes,2,No,No,n,{88632F23-69D4-49C7-AAF3-18F408DF07D4}
256,257,q4496,1953,2017-02-09,1400, ,2017-02-10,800,1730, ,809 S Henderson,Central,Loop,Paved,Medium,78,2.2,78,2.2,3,No,12,13.2,44,Cast Iron,Mechanical Joint,None,Native Soils,Water Main,Flang nut/bolt/tie rod,Outside,Bolt Leak,No,0,Contractor,Bore into joint,Repaired, ,No, ,48,2.21,48,2.21,Yes,Yes,"2, 4",Yes,Yes,n,{FFA09A8C-6AD7-4607-9C7A-D6D2367B9FB0}
